Site,Year,Age,Cohort,SampleSize,Prevalence,SPrevalence,APrevalence,ASUnknown
Sitka,2013,4,2009,20,0.25,0.15,0.1,0
Sitka,2013,5,2008,8,0.25,0.125,0.125,0
Sitka,2013,6,2007,30,0.066666667,0.066666667,0,0
Sitka,2013,7,2006,109,0.201834862,0.119266055,0.082568807,0
Sitka,2014,3,2011,2,0,0,0,0
Sitka,2014,4,2010,48,0.291666667,0.166666667,0.125,0
Sitka,2014,5,2009,16,0.1875,0.125,0.0625,0
Sitka,2014,6,2008,13,0.230769231,0.230769231,0,0
Sitka,2014,7,2007,98,0.224489796,0.12244898,0.102040816,0
Sitka,2015,3,2012,16,0.125,0.125,0,0
Sitka,2015,4,2011,3,0.333333333,0.333333333,0,0
Sitka,2015,5,2010,39,0.128205128,0,0.128205128,0
Sitka,2015,6,2009,7,0,0,0,0
Sitka,2015,7,2008,115,0.156521739,0.07826087,0.069565217,0.008695652
Sitka,2016,4,2012,97,0.12371134,0.092783505,0.030927835,0
Sitka,2016,5,2011,10,0.1,0.1,0,0
Sitka,2016,6,2010,43,0.23255814,0.186046512,0.046511628,0
Sitka,2016,7,2009,27,0.259259259,0.185185185,0.074074074,0
Sitka,2017,3,2014,17,0.117647059,0,0.058823529,0.058823529
Sitka,2017,4,2013,4,0.25,0.25,0,0
Sitka,2017,5,2012,84,0.083333333,0.05952381,0,0.023809524
Sitka,2017,6,2011,10,0.4,0.2,0,0.2
Sitka,2017,7,2010,65,0.169230769,0.123076923,0.015384615,0.030769231
Sitka,2018,3,2015,7,0,0,0,0
Sitka,2018,4,2014,29,0.103448276,0.034482759,0.034482759,0.034482759
Sitka,2018,5,2013,10,0,0,0,0
Sitka,2018,6,2012,80,0.225,0.0875,0.1,0.0375
Sitka,2018,7,2011,49,0.326530612,0.224489796,0.081632653,0.020408163
Sitka,2019,3,2016,82,0.085365854,0.048780488,0.036585366,0
Sitka,2019,4,2015,29,0.103448276,0.103448276,0,0
Sitka,2019,5,2014,18,0.222222222,0.111111111,0.111111111,0
Sitka,2019,6,2013,3,0,0,0,0
Sitka,2019,7,2012,47,0.234042553,0.14893617,0.085106383,0
